Input Name,Input Address,Title,Rating,Reviews,Price Level,Tags
ORANGERIET ApS,"Kronprinsessegade 13, 1306 København K",Orangeriet,"4,1",472,,", , , , , , , , , "
La Table ApS,"Strandvejen 235, 2920 Charlottenlund",La Table | Autentisk Fransk Bistro,"3,7",90,,", , "
McDonald´s Hillerød,"Herredsvejen 16, 3400 Hillerød",McDonald's,"3,8",2.128,,
THE RED BOX ApS,"Store Kongensgade 42, 1264 København K",The Red Box,"4,5",248,,", , , , , , , , , "
WULFF & KONSTALI Waterfront,"Philip Heymans Alle 17, 2900 Hellerup",Wulff & Konstali - Hellerup,"4,0",612,,", , , , , , , , , "
NOM ApS,"Strandlodsvej 42, st., 2300 København S",,,,,
STICKS 'N' SUSHI A/S,"Lyngby Hovedgade 43, 2800 Kgs. Lyngby",,,,,
Bistro 22,"Rungsted Havn 16B, 2960 Rungsted Kyst",Bistro No. 22,"4,2",431,,", , , , , , "
Misterbianco ApS,"Sortedam Dossering 29, st. tv, 2200 København N",,,,,
Restaurant Dubrovnik v/Ivan Jovanovic,"Studiestræde 32, 1455 København K",,,,,
RESTAURATIONSSELSKABET AF NOVEMBER 1999 ApS,"Løgstørgade 8, 2100 København Ø",,,,,
Beat Cafe,"Enghave Plads 13, 1670 København V",Beat Café,"4,6",649,100-200 kr a persona,", , , , , , , , , "
Hereford Steak House V/Jan Sundberg,"Taastrup Hovedgade 106, 2630 Taastrup",,,,,
Teglkroen v/Annita Hansen,"Teglgårdstræde 17, 1452 København K",Teglkroen,"4,5",210,200-300 kr a persona,
RISTORANTE ITALIANO AF 6 MARTS 1998 APS,"Fiolstræde 2, st., 1171 København K",Ristorante Italiano,"4,4",4.748,,", , , , , , , , , "
RAGU ApS,"Arne Jacobsens Allé 12, 2300 København S",RAGU,"3,3",10,,
Engelhardt Cafe og Restaurant v/Halil Ceran,"Søborg Torv 17, 2860 Søborg",,,,,
Ingolfs Kaffebar og Spisehus ApS,"Ingolfs Allé 3, 2300 København S",Ingolf's Kaffebar,"4,3",964,,", , , , , , , , , "
SPISESTEDET MOSEN V/JEANETTE KIT JAKOBSEN,"Rendsagervej 5, 2625 Vallensbæk",Spisestedet Mosen,"4,1",471,,
Zætteberg kaffe & vin,"Gasværksvej 12, st. th, 2800 Kongens Lyngby",Zætteberg kaffe & vin,"4,6",193,100-200 kr a persona,", , , , , "
RESTAURATIONSSELSKABET HADI ApS,"Frederiksberggade 36, 1459 København K",Restaurationsselskabet Hadi Aps,"1,0",,,
"YAT ApS,American Rest. & Diner","Havneholmen 3, 1561 København V",American Restaurant & Diner,"3,7",1.013,,", , , , , , , , , "
Victoria Pub,"Gammeltorv 24, 1457 København K",Victoria Pub,"4,0",718,,", , , , , , , , , "
La Vita Pizza Resturante v/Agim Tahiri,"Ryesgade 61, kl., 2100 København Ø",La Vita,"4,6",291,1-200 kr a persona,
CAFÉ BJERGET OG BJERGSTUEN A/S,"Bispebjerg Torv 8, st., 2400 København NV",Cafe Bjerget,"4,1",357,100-200 kr a persona,", , , , "
CAFE CIRÉ ApS,"Valby Langgade 58, 2500 Valby",Cafe Ciré,"3,8",1.170,100-200 kr a persona,", , , , , , , , , "
Gastronomia Costa Smeralda,"Akacietorvet 11, 3520 Farum",Costa Smeralda,"4,7",150,100-200 kr a persona,
MC DONALD'S,"Kettevej 3, 2650 Hvidovre",McDonald's,"3,5",2.027,,
GASTROMIA ITALIANA DUE V/BESTON MOHAMED SAID,"Gammel Kongevej 108, 1850 Frederiksberg C",,,,,
Ristorante Amici Mieí,"Stengade 15, 3000 Helsingør",Amici Miei,"4,4",818,,", , , , , , , , , "
CAFE BANG & JENSEN,"Istedgade 130, 1650 København V",Bang & Jensen,"4,1",845,100-200 kr a persona,", , , , , , , , , "
LYNGBY CAPRI SHAWARMA HOUSE ApS,"Klampenborgvej 215D, 2800 Kongens Lyngby",Lyngby Shawarma House,"4,1",577,100-200 kr a persona,", , , , , , , , , "
Restaurant Fridas v/Lene Palmberg,"Gammel Kongevej 5, 1610 København V",Fridas,"4,3",860,,", , , , , , , , , "
esthers spisehus I/S,"Esthersvej 47, st. th, 2900 Hellerup",Esthers spisehus,"4,6",285,300-400 kr a persona,", , , "
RESTAURANT HÖST ApS,"Nørre Farimagsgade 41, st., 1364 København K",Høst,"4,7",3.726,,", , , , , , , , , "
BAR'VIN ApS,"Skindergade 3, 1159 København K",Bar'Vin,"4,6",305,,", , , , , , , , , "
Villa Vi,"Kongevejen 61, 2800 Kongens Lyngby",Villa Vi,"4,7",125,100-200 kr a persona,", , , , , "
ZAIQA ApS,"H.C. Ørsteds Vej 50A, 1879 Frederiksberg C",Zaiqa,"3,5",54,100-200 kr a persona,", , , , , "
Americas Grill ApS,"Nikolaj Plads 24, 1067 København K",Las Americas,"3,6",477,,", , , , , , , , , "
Evenues Food ApS,"Bernstorffsvej 20A, 2900 Hellerup",,,,,
REBÆK PIZZA,"Rebæk Søpark 1, 2650 Hvidovre",Rebæk Pizzabar & Grill,"3,9",159,,", , "
Karsemose Kro / Marks Spisehus,"Helsingevej 153B, 3300 Frederiksværk",Korporalskroen,"4,2",479,200-300 kr a persona,", "
ROSENHUSET. ApS,"Vedbæk Strandvej 378, 2950 Vedbæk",Café Rosenhuset,"4,2",879,200-300 kr a persona,", , , , , , , , , "
Mazzoli's Caffè & Trattoria,"Vesterbrogade 3, 1620 København V",,,,,
CECA FOODS FREDERIKSSUND ApS,"Ådalsvej 1, 3600 Frederikssund",,,,,
Bodega 48,"H.C. Ørsteds Vej 48A, st. th, 1879 Frederiksberg C",Bodega 48,"4,1",121,1-100 kr a persona,
Ammessi,"Vesterbrogade 70, 1620 København V",Ammessi,"4,1",147,,", , , , , "
Balkan Food ApS,"Frederikssundsvej 356, 2700 Brønshøj",Balkan Food,"4,5",23,1-100 kr a persona,
Food Fusion ApS,"Stengade 30A, 3000 Helsingør",,,,,
Pizza Palace,"Sallingvej 24, 2720 Vanløse",Pizza Palace / vanløse,"4,1",98,,
Restaurant 1899 ApS,"Hausergade 38, 1128 København K",Restaurant 1899,"4,9",67,,", , , "
Alshami ApS,"Nørrebrogade 108, 2200 København N",Alshami Shawarma,"4,4",128,1-100 kr a persona,", "
Lago by Norrlyst ApS,"Korsgade 1, st., 2200 København N",Lago ~ Restaurant & Cocktailbar,"4,5",167,,", , , , , , , , , "
Ebisu Sushi Helsingør ApS,"Bjergegade 22A, 3000 Helsingør",Ebisu Sushi Helsingør,"4,6",29,,", "
NASR SHAWARMA,"Nørrebrogade 185, st., 2200 København N",,,,,
VACA Valby,"Toftegårds Allé 4, 2500 Valby","VACA - Mexican Finger Food, Valby","3,6",488,100-200 kr a persona,", , , , , , , , "
Bone´s Restauranter A/S,"Amagerbrogade 132, 2300 København S",,,,,
Temporada Tapas og Vin,"Åboulevard 23, st. tv, 1960 Frederiksberg C",,,,,
MASH RUNGSTED ApS,"Rungsted Havn 42 - 44, 2960 Rungsted Kyst",MASH,"4,1",627,,", , , , , , , , , "
Café Apropos ApS,"Halmtorvet 12, 1700 København V",Café Apropos,"3,9",1.282,,", , , , , , , , , "
ONE 2 ApS,"Enghave Plads 2, 1670 København V",One 2 Aps,,,,
Fru Nimbs Smørrebrød,"Vesterbrogade 3, 1620 København V",Fru Nimb,"4,3",273,,", , , , , , "
Alchemist ApS,"Refshalevej 173C, 1432 København K",Alchemist,"4,8",634,,", , , , , , , , , "
CECA FOODS HELSINGØR ApS,"Kongevejen 103, 3000 Helsingør",,,,,
Bellona Restaurant,"Nørregade 19, 3390 Hundested",Bellona,"4,2",384,100-200 kr a persona,
Shabaz Åboulevarden,"Åboulevard 46, 2200 København N",Shabaz Kaffebar,"4,2",127,1-100 kr a persona,", , , "
Langelinie-P Aps,"Langelinie 10, 2100 København Ø",Langelinie Pavillonen,"4,3",249,,", , , , , , "
Guangzhoa Cuisine,"Abel Cathrines Gade 6, st. th, 1654 København V",Guangzhou cuisine,"4,2",227,200-300 kr a persona,
KINESISKE MUR ApS,"Amagerbrogade 251B, 2300 København S",Den Kinesiske Mur,"3,9",943,200-300 kr a persona,", , , , , , , "
Restaurant Anarki ApS,"Vodroffsvej 47, 1900 Frederiksberg C",Anarki,"4,5",471,,", , , , , , , , , "
Italo Disco ApS,"Oehlenschlægersgade 5, st., 1663 København V",ITALO DISCO,"4,4",322,,", , , , , , , , , "
Non Solo Trattoria,"Godthåbsvej 29, 2000 Frederiksberg",Nonsolo Trattoria,"4,4",203,,", "
Murphy's Bar,"Københavns Lufthavn 19, 2770 Kastrup",Murphy's Irish Pub,"2,8",325,,", , , , , , , , , "
Väkst,"Sankt Peders Stræde 34, 1453 København K",Vækst,"4,6",2.581,,", , , , , , , , , "
Mm Madlab Martinussen ApS,"Islands Brygge 76, 10. 2, 2300 København S",,,,,
Op La restaurant,"Gladsaxevej 130, st. 8, 2860 Søborg",,,,,
Restaurant Casa Mia,"Antoniestræde 3, 3700 Rønne",Casa Mia,"4,1",612,100-200 kr a persona,", , , , , , "
VIP EVENTS SELSKABSLOKALER ApS,"Gammel Køge Landevej 119, st. tv, 2500 Valby",VIP Events Valby Selskabslokaler,"4,2",58,,", , , , , , "
Ramen To Biiru Nørrebro,"Griffenfeldsgade 28, st. tv, 2200 København N",Ramen to Bíiru Nørrebro,"4,4",2.131,100-200 kr a persona,", , , , , , , , , "
Cafe Vivaldi Frederiksberg,"Falkoner Alle 13, 2000 Frederiksberg",Cafe Vivaldi,"3,9",1.086,200-300 kr a persona,", , , , , , , , , "
Copenhagen City Beach Club ApS,"Refshalevej 325, 1432 København K",Copenhagen City Beach Club Aps,,,,
Popl Burger ApS,"Strandgade 108, 1401 København K",POPL Burger,"4,0",2.102,,", , , , , , , , , "
Hallernes Kødbyen,"Staldgade 22, 1699 København V",,,,,
Mad & Kaffe Amagerbro ApS,"Tyrolsgade 6, 2300 København S",Mad & Kaffe,"4,5",1.255,100-200 kr a persona,", , , , , , , , , "
Thai 2 You,"Elmegade 13, 2200 København N",Thai 2 You - Thai Take Away og Spisested,"4,0",61,1-100 kr a persona,
C. Deniz ApS,"Farum Bytorv 47, 3520 Farum",Pizza Burger House,"4,0",194,,
Jason Matthew Renwick,"Marstalsgade 8, 2100 København Ø",,,,,
Kød Vesterbro ApS,"Vesterbrogade 33, 1620 København V",KöD,"4,3",1.385,,", , , , , , , , , "
Madøre,"Strandlund 102, 2920 Charlottenlund",,,,,
Mey Martinez Coffee I/S,"Flydedokken 13, 2. tv, 2450 København SV",Mey Martinez,,,,
OKKO Café og Bar ApS,"Læderstræde 28, 1201 København K",Okko,"4,0",246,100-200 kr a persona,", , , , , , , , , "
Falafel Factory ApS,"Nørrebrogade 63, 2200 København N",Falafel Factory,"4,6",627,1-100 kr a persona,", , , , , , , , , "
The Market Italian,"Antonigade 8, 1106 København K",The Market Italian,"4,0",103,,", , , , , , , , , "
42Raw Pilestræde ApS,"Pilestræde 32B, 1112 København K",42Raw,"4,0",1.045,100-200 kr a persona,", , , , , , , , , "
Café North ApS,"Rosengården 14, 1174 København K",,,,,
Restaurant Pluto,"Borgergade 16, 1300 København K",Pluto,"4,3",1.274,,", , , , , , , , , "
Skagen Fiskerestaurant Kbh. ApS,"Østergade 52, 1100 København K",,,,,
BURGER KING - Nørreport,"Frederiksborggade 12, 1360 København K",Burger King,"3,4",2.814,,", , , , , , , , , "
Palace Garden ApS,"Grantoftestræde 11, 2750 Ballerup",Palace Garden,"4,0",861,,", , , , , , "
The Market Asian,"Antonigade 2, 1106 København K",The Market Asian,"4,1",648,,", , , , , , , , , "
Søcafeen ApS,"Vesterbrogade 3, 1620 København V","Søcafeen, Tivoli","4,1",459,,", , , , , , , , , "
Restaurant Gorilla,"Flæsketorvet 63, 1711 København V",Restaurant Gorilla,"4,0",1.871,,", , , , , , , , , "
Shabba ApS,"Strandboulevarden 98, st. th, 2100 København Ø",,,,,
Hummeren v/ Sussi Sonneby,"Hummeren 3, 2635 Ishøj",Hummeren,,,,
Cork ApS,"Henrik Steffens Vej 2, st., 1866 Frederiksberg C",Cork Vinbar,"4,5",172,200-300 kr a persona,", , , "
Barabba,"Store Kongensgade 34, st., 1264 København K",Barabba,"4,3",566,Più di 1000 kr a persona,", , , , , , , , , "
Dinner Sushi ApS,"H.C. Ørsteds Vej 33, 1879 Frederiksberg C",Dinner Sushi,"4,4",325,,", , , , , , , "
GoSushi,"Frederiksborgvej 84, 2400 København NV",Go Sushi,"4,3",82,100-200 kr a persona,
Dej ApS,"Halmtorvet 27E, st., 1700 København V",Dej,"4,1",908,,", , , , , , , , , "
Thai Corner ApS,"Istedgade 38, kl. tv, 1650 København V",,,,,
Café Salonen ApS,"Fiolstræde 25, st., 1171 København K",,,,,
Sushi Deli ApS,"Istedgade 42B, st., 1650 København V",,,,,
WOK CPH Online Sales ApS,"Torvegade 49, 1400 København K",WOK Christianshavn,"4,5",1.034,100-200 kr a persona,", , , , , , , , , "
Restaurant Grøften,"Vesterbrogade 3, 1620 København V",Restaurant Grøften /Tivoli,"4,1",2.997,,", , , , , , , , , "
RETOUR-STEAK København K,"ny østergade 21, 1101 København K",,,,,
Ristorante Buono,"Abel Cathrines gade 21A, 1654 københavn v",Ristorante Buono,"4,5",760,,", , , , , , , , , "
La Rustica Ballerup ApS,"Baltorpvej 2, 2750 Ballerup",LA RUSTICA,"3,9",700,,", , , , "
KK Klampenborg ApS,"Enghavevej 8, 2930 Klampenborg",,,,,
MKMT ApS,"Istedgade 105, 1650 København V",Kebabistan,"4,3",1.248,1-100 kr a persona,", , , , , , , , , "
Jagger Copenhagen ApS - Istedgade,"Istedgade 62, 1650 København V",Jagger,"4,0",1.078,100-200 kr a persona,", , , , , , , , , "
Nikola Aps,"Øverødvej 11, 2840 Holte",,,,,
soya sushi,"Frederikssundsvej 294A, 2700 Brønshøj",Soya Sushi,"4,2",51,,
Cafe A,"Laurits Olsens Vej 1, 2650 Hvidovre",Cafe A,"3,8",732,,", , , "
Cocks & Cows SP34,"Jarmers Plads 3, 1551 København V",Cocks & Cows SP34,"4,1",947,,", , , , , , , , , "
IKI ApS af 02.01.2017,"Vesterbrogade 113, st., 1620 København V",IKI sushi,"4,2",445,,", , , , , , , , , "
Torvets Kebab,"Sankt Hans Torv 24, 2200 København N",Torvets Kebab,"4,3",198,1-100 kr a persona,", , , , "
Restaurant Kastellet,"Amaliegade 41, 1256 København K",Restaurant Kastellet,"4,7",401,,", , , , , , , , , "
Sonny Rhs ApS,"Rådhusstræde 5, st., 1466 København K",,,,,
Bistro no. 3 ApS,"Havnevej 3, 3250 Gilleleje",Bistro No. 3,"4,6",244,,", , , , , , "
Ssam,"Colbjørnsensgade 7, 1652 København V",SSAM Korean Food Bar,"4,2",1.740,200-300 kr a persona,", , , , , , , , , "
Café Krøyers ApS,"Strandgade 87A, st., 1401 København K",Kroyers,"3,3",377,100-200 kr a persona,", , , , , , , , , "
93 Operating ApS,"Strandgade 93, 1401 København K",Barr,"4,3",1.740,,", , , , , , , , , "
Restaurationen Hellerup Sejlklub,"Paul Elvstrøms Plads 1, 2900 Hellerup",Restaurant Hellerup Sejlklub,"4,0",389,200-300 kr a persona,", , , , , , , "
Cakenhagen,"Vesterbrogade 3, 1620 København V",Cakenhagen,"4,2",382,,", , , , , , , , , "
Bellona Pizzeria & Restaurant,"Humlebæk Center 28A, st., 3050 Humlebæk",,,,,
CPH Cooking Class ApS,"Herluf Trolles Gade 9, 1., 1052 København K",CPH Cooking Class,"4,8",75,,", , , , , , , , , "
New Element Cafeteria & Grill,"Bagsværd Hovedgade 45, 2880 Bagsværd",New Element Cafeteria,"4,3",110,100-300 kr a persona,", "
Madklubben Frederiksberg ApS,"Solbjergvej 6, 2000 Frederiksberg",Restaurant Madklubben Frederiksberg,"4,1",896,,", , , , , , , , , "
Dark Horse,"Hovedgade 1E, 3730 Nexø",Dark Horse Snogebæk,"3,9",41,100-300 kr a persona,", , , , "
Kai Sushi ApS,"Brøndbyøster Torv 29, 2605 Brøndby",Kai Sushi,"4,1",216,200-300 kr a persona,", , , "
Jungle Grain ApS,"Rolighedsvej 20, 1958 Frederiksberg C",,,,,
Restaurationsselskabet Bøgely ApS,"Dyrehavsbakken 92, 2930 Klampenborg",Bøgely - Restaurant på Bakken,"4,1",509,,
Jagger Copenhagen ApS - Nørrebrogade,"Nørrebrogade 114, st., 2200 København N",Jagger Nørrebro,"3,9",852,100-200 kr a persona,", , , , , , , , , "
Pincho Nation A/S,"Rosengården 18, 1174 København K",,,,,
Green Mango Søborg,"Søborg Hovedgade 62A, st. tv, 2860 Søborg",Green Mango,"4,0",253,100-200 kr a persona,", , , "
Green Mango Christianshavn,"Torvegade 16, st., 1400 København K",Green Mango,"4,3",371,100-200 kr a persona,", , , , , , , , , "
Venato Funchs ApS,"Vendersgade 8, 1363 København K",Funchs Vinstue,"4,2",215,1-100 kr a persona,", "
Pin Yue Ju,"Hvidovrevej 277, 2650 Hvidovre",,,,,
Pizza Del Lago,"Rungstedvej 5, 2970 Hørsholm",,,,,
Cafe Gustav ApS,"Store Torv 8, 3700 Rønne",Cafe Gustav,"4,1",1.435,,", , , , , , , , , "
Restaurant LB ApS,"Gasværksvej 5, 1656 København V",Le Basilic,"3,7",309,300-500 kr a persona,", , , , , , , , , "
Zam Zam Restaurant ApS,"Frederikssundsvej 20, st., 2400 København NV",Zam Zam,"3,8",517,1-100 kr a persona,", , , , , , , "
Camour,"Høkerboderne 16, 1712 København V",,,,,
gocatering,"Hendriksholms Boulevard 61, 2610 Rødovre",,,,,
Alexander's Café ApS,"Ottilia Jacobsens Plads 1, 1799 København V",Alexanders Bistro,"3,9",281,,", , , , , , , "
Ofelia Bar,"Stengade 81A, 3000 Helsingør",Ofelia Bar,"4,6",115,,", , "
Circolo ApS,"Gammel Kongevej 74D, st. 2, 1850 Frederiksberg C",Circolo,"4,0",99,,", , , , , , , , , "
BUKA,"Frederiksberggade 21, st., 1459 København K",,,,,
Pantella,"Nørrebrogade 51, st. 2, 2200 København N",Pantella,"3,8",173,,", , , , , , , , , "
JohnogWoo 2 ApS,"Göteborg Plads 2, 2150 Nordhavn",John&Woo Nordhavn,"4,3",329,,", , , , , , , , , "
Queens Sushi ApS,"Nørregade 28, 1165 København K",,,,,
"Det Glade Vanvid, København","Læderstræde 3, 1201 København K",Det Glade Vanvid - København K,"4,7",560,400-600 kr a persona,", , , , , , , , , "
Under træet,"Blågårdsgade 2A, kl. 1, 2200 København N",Under Træet,"4,6",25,,", , "
Teddy By Bjørn,"Frederiksgade 6, st., 3400 Hillerød",Restaurant Teddy /by Bjørn,"4,6",117,,", "
Lynge Kro & Hotel ApS,"Højrisvej 22, 3540 Lynge",Lynge Kro & Hotel,"4,2",736,,
Darling Bistro & Bar,"Ved Stranden 18C, 1061 København K",Darling Bistro & Bar,"4,0",402,,", , , , , , , , , "
Magnet 5 ApS,"Valby Langgade 49A, st. tv, 2500 Valby",,,,,
A.G Solution ApS,"Vallensbæk Stationstorv 73, 2665 Vallensbæk Strand",,,,,
Københavner Grillen,"Vesterbrogade 3, 1620 København V",,,,,
Shish ApS,"Amagerbrogade 80, st., 2300 København S",Shish,"4,2",333,100-200 kr a persona,", , , , , , , , , "
Amish 2 ApS,"Centrumgaden 11, 2750 Ballerup",Café LaQuart,"4,1",817,100-200 kr a persona,", , , , "
Café Kodan ApS,"Falkoner Alle 24, kl. th, 2000 Frederiksberg",,,,,
Duero ApS,"Torvet 1G, st., 3400 Hillerød",Torvets Café og Vinbar,"4,8",95,,", "
The Black Olive ApS,"Ny Kronborgvej 2, 3000 Helsingør",The black olive,"3,8",33,,", , , , , "
Saigon 45 ApS,"Rødovre Centrum 1M, st. 41, 2610 Rødovre",Saigon 45,"4,2",43,100-200 kr a persona,", "
Yoomii sushi ApS,"Ny Kronborgvej 2, 3000 Helsingør",Yoomii sushi,"4,5",8,100-200 kr a persona,
Pops Diner ApS,"Bispeengen 20F, 2000 Frederiksberg",Pops Diner Box,"4,0",209,100-200 kr a persona,", , , , , , "
Kebab Stationen ApS,"Vejlebrovej 12B, 2635 Ishøj",City Kebab Grill,"4,2",278,1-100 kr a persona,", , "
Restaurant Sultan,"Hovedvejen 140, 2600 Glostrup",Restaurant Sultan,"3,6",417,,", , , , , , , , , "
SA Foods ApS,"Hannemanns Allé 28, ST., 2300 København S",Foodcorner,"4,0",328,1-100 kr a persona,", , , , , , , , "
Super Bello ApS,"Jernbane Allé 45H, 2720 Vanløse",Superbello,"4,4",260,,", , "
"SSP DK, AFD. 42, Le Sommelier","Lufthavnsboulevarden 14, 1., 2770 Kastrup",,,,,
Yo Østerbro ApS,"Østerbrogade 64, 2100 København Ø",YOBURGER,"3,6",317,100-200 kr a persona,", , , , , , , , , "
Big Ben Cafe & Restaurant ApS,"Hovedvejen 103, 2600 Glostrup",Big Ben Pizza Glostrup,"4,0",385,100-200 kr a persona,", , "
Chicks by Chicks Tivoli ApS,"Bernstorffsgade 3, 1577 København V",Chicks by Chicks,"3,5",184,,", , , , , , , , , "
New Century Wok ApS,"Ordrupvej 94, 2920 Charlottenlund",,,,,
FS Orient ApS,"Østergade 1K, 3600 Frederikssund",,,,,
Bistro Couloir,"Krimsvej 29, 2300 København S",Bistro Couloir,"3,8",21,,
Kebab på farten,"Malmparken 17, 2750 Ballerup",,,,,
Cafe Kaffeblomst ApS,"Mørdrup, 3060 Espergærde",Cafe Kaffeblomst,"4,3",96,,
Burger King Sillebroen Frederikssund,"Nygade 1, 3600 Frederikssund",Burger King,"3,2",467,,
Terra Restaurant,"Ryesgade 65A, 2100 København Ø",Tèrra,"4,8",196,Più di 1000 kr a persona,", , , , , , , , , "
Doomsday Deli ApS,"Guldbergsgade 10, 2200 København N",Doomsday Deli,"4,6",207,100-200 kr a persona,", , , , , , , , , "
Hereford ApS,"Frederiksberggade 21, 1., 1459 København K",Hereford ApS,"5,0",,,
Unkai ApS,"Helsingørsgade 20, st., 3400 Hillerød",Unkai,"4,4",395,,", , , , , , , "
Kajen Drift ApS,"Børskaj 12, 1221 København K",Kayak Bar,"4,3",1.785,,", , , , , , , , , "
Basso København ApS,"Dronningens Tværgade 22, 1302 København K",Basso,"4,4",751,,", , , , , , , , , "
S3 Restaurant ApS,"Enghavevej 57, st., 1674 København V",,,,,
Props Coffee Shop,"Blågårdsgade 5, 2200 København N",Props Coffee Shop,"4,3",200,1-100 kr a persona,", , "
Fru M Sandwich,"Søborg Hovedgade 131, 2860 Søborg",Fru M. Sandwich,"4,7",169,1-100 kr a persona,", "
Vestvest ApS,"Summerredvej 26, st. tv, 2500 Valby",Samvær,"4,5",71,1-100 kr a persona,", , "
ILUKA ApS,"Peder Skrams Gade 15, 1054 København K",ILUKA,"4,5",317,,", , , , , , , , , "
Ordrup Burger ApS,"Ordrupvej 78B, 2920 Charlottenlund",,,,,
Food Box ApS,"Folehaven 70, 2500 Valby",Købmand NK 11,"4,2",45,,
Restaurant Caia ApS,"Christianshavns Voldgade 52, st., 1424 København K",,,,,
Zirup Frederiksberg ApS,"Godthåbsvej 28, 2000 Frederiksberg",Zirup,"3,8",1.043,200-300 kr a persona,", , , , , , , , , "
Aamanns Deli & Takeaway,"Øster Farimagsgade 10, 2100 København Ø",Aamanns Deli & Takeaway | Østerbro,"4,5",880,,", , , , , , , , , "
IO ApS,"Nørrebrogade 108, st. tv, 2200 København N",,,,,
Nordic services,"Vesterfælledvej 8, 1750 København V",,,,,
Hellerup Food Service ApS,"Olof Palmes Gade 9, 1. th, 2100 København Ø",,,,,
Kashmir Frederiksberg ApS,"Nordre Fasanvej 162, st. th, 2000 Frederiksberg",Kashmir To Go Frederiksberg,"4,2",106,100-200 kr a persona,", , , , "
Poco Picante ApS,"H.C. Ørsteds Vej 43A, st., 1879 Frederiksberg C",Poco Picante,"4,1",550,100-200 kr a persona,", , , , , , , , , "
Strøg Kebab,"Slotsgade 8, 3400 Hillerød",Strøg Kebab,"4,0",75,1-100 kr a persona,", "
"Blox Eats, 2620","Bryghuspladsen 14, 1473 København K",BLOX EATS,"3,6",173,1-100 kr a persona,", , , , , , , , , "
Vivaldi Amagerbrogade,"Amagerbrogade 92, 2300 København S",Cafe Vivaldi,"3,9",670,,", , , "
Solbakken Bar ApS,"Nordre Fasanvej 14A, 2000 Frederiksberg",Solbakken,"4,2",80,,
OISHI - HVIDOVRE,"Laurits Olsens Vej 1, st. 26, 2650 Hvidovre",OISHI Sushi,"4,1",145,,
McDonald's Fields,"Arne Jacobsens Allé 12, 2300 København S",McDonald's Fields,"2,4",413,,", , , , , , , , , "
SENSU SUSHI ApS,"Richard Mortensens Vej 78K, 2300 København S",Sensu Sushi,"4,5",223,,", , , , , , , , , "
Muban Thai ApS,"Sluseholmen 16A, 2450 København SV",Muban Thai,"3,9",131,100-200 kr a persona,", , , , , , , , "
The Ancestrale ApS,"Oehlenschlægersgade 12, st. th, 1663 København V",Ancestrale,"4,4",245,,", , , , , , , , , "
Din Far ApS,"Strandlodsvej 42A, 2300 København S",,,,,
Mad & Kaffe Lyngby ApS,"Lyngby Storcenter 1, st. 20, 2800 Kongens Lyngby",Mad & Kaffe Lyngby,"4,5",60,,", "
Donda,"Strandgade 20, st. tv, 1401 København K",DONDA KHANA,"4,6",246,,", , , , , , , , , "
Restaurant Pakhuset,"Brænderigænget 3, 3740 Svaneke",Restaurant Pakhuset,"4,1",782,,", , , , , , , "
Cucurucho ApS,"Hovedgaden 112, 3220 Tisvildeleje",,,,,
MAX Burger,"Banegårdspladsen 6, 1570 København V",Max Hamburger,"3,5",1.102,,", , , , , , , , , "
Skipperkroen,"Nyhavn 27, 1051 København K",Skipperkroen,"3,7",1.156,,", , , , , , , , , "
Flindt & Ørsted ApS,"Nørre Farimagsgade 6, 1364 København K",Flindt & Ørsted,"4,4",396,,", , , , , , , , , "
Ganløse Pizza ApS,"Ganløse, 3660 Stenløse",Ganløse Pizzaria & Grillbar,"4,1",97,1-100 kr a persona,
ABU KEBAB,"Kalvebod Brygge 59, 1560 København V",Abu Kebab,"3,5",19,,
Watami Valby,"Valby Langgade 80, 2500 Valby",Watami Valby,"4,5",293,300-400 kr a persona,", , , , , "
HongFa ApS,"Jyllingevej 77, 2720 Vanløse",,,,,
ÆRLIGT Frederikssund,"Amsterdamhusene 1, 3600 Frederikssund",Ærligt,"4,4",260,,", "
Bella Luna,"Nyvej 16A, 3360 Liseleje",Bella Luna,"4,2",232,100-200 kr a persona,", , , , "
Restaurant Safari ApS,"Baggesensgade 9, 2200 København N",SAFARI,"4,4",220,,", , , , , , , , , "
Ramen To Biiru Østerbro,"Victor Borges Plads 6, st., 2100 København Ø",Ramen to Bíiru Østerbro,"4,3",528,100-200 kr a persona,", , , , , , , , , "
Restarant Marv&Ben,"Snaregade 4, kl., 1205 København K",Marv & Ben,"4,7",1.776,,
Fabro Pasta,"Borgergade 134, st. 1, 1300 København K",Fabro,"4,2",961,100-200 kr a persona,", , , , , , , , "
Byens Deli ApS,"Stationsvej 5, 3460 Birkerød",Byens Deli,"4,4",55,,
Tolv Haner ApS,"Rantzausgade 56, 2200 København N",Kølsters Tolv Haner,"4,3",645,1-100 kr a persona,", , , , , , , , , "
Deep 2 Indisk Restaurant,"Amagerbrogade 16, 2300 København S",Deep Indian,"3,9",386,200-300 kr a persona,", , , , , , , , , "
Cafeen af 26/11 aps,"Ålekistevej 96, st., 2720 Vanløse",,,,,
Barlie ApS,"Fredericiagade 78, 1310 København K",Bottega Barlie,"4,4",278,,", , , , , , , , , "
Cafe Vivaldi Nørreport,"Frederiksborggade 14, 1360 København K",Cafe Vivaldi,"3,8",655,200-300 kr a persona,", , , , , , , , , "
Restaurant Bolværket,"Peter Fjelstrups Vej 12, 3250 Gilleleje",Spisehuset Bolværket,"4,2",170,,
